run-blue,9,6,0,6,4,0,3,0,0,0,1,0.246,4,6.016,5,0,25,1,0.067,4,4,2,0,0,studyB,none
run-blue,12,9,8,0,0,0,0,0,1,0,0,0,0,0,0,0,35,0,0,8,9,0,0,0,studyB,none
run-blue,16,6,6,0,6,2,3,0,0,0,0,0,8,12.998,10,0,57,0,0,6,6,5,0,0,studyB,none
run-blue,19,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,11,11,9,0,0,studyB,none
run-blue,24,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,7,7,0,0,0,studyB,none
run-blue,29,5,2,1,4,1,1,0,0,0,0,0,2,3.796,0,0,7,11,17.584,7,7,2,0,0,studyB,none
run-blue,30,6,4,1,0,0,0,0,1,0,0,0,0,0,0,0,37,0,0,9,10,0,0,0,studyB,none
run-blue,35,9,8,0,7,0,0,0,0,0,0,0,7,9.025,0,0,23,3,1.997,15,15,2,137,0,studyB,none
run-blue,37,12,0,6,4,0,1,0,0,3,0,0,2,2.246,0,0,14,0,0,1,1,0,0,0,studyB,none
run-blue,41,12,0,3,1,0,0,0,4,1,0,0,0,0,0,0,9,0,0,4,4,2,0,0,studyB,none
run-blue,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,studyB,none
run-yellow,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,30,3,14.393,4,3,5,0,0,studyB,data
run-yellow,6,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,367,0,studyB,data
run-yellow,9,3,1,1,3,1,0,0,0,1,0,0,1,1.008,1,0,7,1,0.091,3,4,4,0,0,studyB,data
run-yellow,12,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.539,0,0,0,74,0,studyB,data
run-yellow,16,2,2,0,0,0,0,0,0,0,0,0,0,0,3,0,8,1,4.62,6,6,7,0,0,studyB,data
run-yellow,19,3,3,0,1,0,0,0,0,1,0,0,0,0,0,0,11,0,0,11,11,16,0,0,studyB,data
run-yellow,24,3,2,0,2,0,0,0,0,0,0,0,2,5.487,0,0,74,3,30.633,7,7,0,0,0,studyB,data
run-yellow,29,4,1,2,4,1,1,0,0,2,1,0.823,4,3.773,0,0,22,5,0.578,5,4,2,0,0,studyB,data
run-yellow,30,7,1,3,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,9,9,0,0,0,studyB,data
run-yellow,35,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,8,5,93,0,studyB,data
run-yellow,37,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,studyB,data
run-yellow,41,5,0,2,2,0,0,0,2,2,0,0,0,0,1,0,20,0,0,1,1,0,0,0,studyB,data
run-yellow,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,studyB,data
run-red,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,1,0,0,0,studyB,video
run-red,6,12,6,2,4,0,0,0,0,4,0,0,0,0,0,0,14,0,0,0,1,2,183,0,studyB,video
run-red,9,9,5,4,9,5,4,0,0,0,1,1.208,7,9.288,17,0,61,0,0,10,10,2,0,0,studyB,video
run-red,12,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,1,0,0,0,studyB,video
run-red,16,8,8,0,0,0,0,0,0,0,0,0,0,0,16,0,52,0,0,10,10,0,0,0,studyB,video
run-red,19,9,8,0,2,0,0,0,0,0,0,0,0,0,2,0,34,0,0,0,1,0,0,0,studyB,video
run-red,24,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,studyB,video
run-red,29,9,3,2,4,3,0,0,0,0,1,3.912,1,0.992,0,0,32,0,0,4,4,0,0,0,studyB,video
run-red,30,12,11,0,4,0,0,0,0,4,0,0,0,0,0,0,69,0,0,0,1,0,0,0,studyB,video
run-red,35,8,8,0,8,0,1,0,0,0,0,0,9,10.444,0,0,26,0,0,8,8,0,149,0,studyB,video
run-red,37,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,studyB,video
run-red,41,9,0,8,1,0,0,0,1,0,0,0,1,2,0,0,13,0,0,0,1,0,0,0,studyB,video
run-red,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,studyB,video
pill-blue,1,9,9,0,1,0,1,0,0,0,0,0,0,0,0,0,51,0,0,3,3,5,0,0,studyB,none
pill-blue,6,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,1,1,0,149,0,studyB,none
pill-blue,9,8,6,2,2,1,1,0,0,0,1,0.624,4,9.189,19,0,60,0,0,4,5,2,0,0,studyB,none
pill-blue,12,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,1,1,0,0,studyB,none
pill-blue,16,11,9,0,6,0,3,0,0,2,1,3.016,8,9.775,5,0,53,0,0,13,13,0,0,0,studyB,none
pill-blue,19,7,6,0,1,0,0,0,0,0,0,0,2,5.097,0,0,31,0,0,14,14,0,0,0,studyB,none
pill-blue,24,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,5,5,0,0,0,studyB,none
pill-blue,29,6,2,0,7,1,6,0,0,0,7,14.598,6,6.821,0,0,46,0,0,3,3,0,0,1,studyB,none
pill-blue,30,6,6,0,1,0,0,0,0,1,0,0,0,0,0,0,47,0,0,6,7,0,0,0,studyB,none
pill-blue,35,8,8,0,9,0,2,0,0,0,0,0,10,23.509,0,0,31,0,0,11,11,0,140,0,studyB,none
pill-blue,37,8,0,7,3,0,3,0,0,0,3,6.426,0,0,0,0,30,0,0,2,2,0,0,0,studyB,none
pill-blue,41,9,0,8,1,1,0,0,1,0,0,0,2,2.632,0,0,17,0,0,4,3,0,0,0,studyB,none
pill-blue,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,studyB,none
pill-red,1,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,41,0,0,0,0,13,0,0,studyB,data
pill-red,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,studyB,data
pill-red,9,3,1,2,4,1,2,0,0,0,0,0,4,5.118,5,0,21,3,0.273,8,8,11,0,0,studyB,data
pill-red,12,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,34.805,0,0,4,29,0,studyB,data
pill-red,16,3,2,1,3,2,1,0,0,0,0,0,2,4.222,1,0,13,1,13.704,6,6,5,0,0,studyB,data
pill-red,19,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,1.516,10,11,7,0,0,studyB,data
pill-red,24,3,3,0,3,2,0,1,0,0,0,0,2,4.68,0,0,20,5,61.642,11,10,0,0,0,studyB,data
pill-red,29,7,2,2,4,3,0,0,0,0,0,0,0,0,0,0,6,34,4.327,5,5,0,0,0,studyB,data
pill-red,30,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,13,14,4,0,0,studyB,data
pill-red,35,6,5,0,1,0,0,0,0,1,0,0,0,0,0,0,6,0,0,15,15,0,78,0,studyB,data
pill-red,37,4,1,3,3,0,1,0,0,1,2,3.167,0,0,0,0,17,3,0.361,2,2,2,0,0,studyB,data
pill-red,41,7,0,3,2,2,0,0,2,0,0,0,2,1.943,0,0,37,0,0,3,3,0,0,0,studyB,data
pill-red,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,studyB,data
pill-orange,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,studyB,video
pill-orange,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,148,0,studyB,video
pill-orange,9,8,8,0,4,1,3,0,0,0,0,0,3,13.305,29,0,70,0,0,0,0,0,0,0,studyB,video
pill-orange,12,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,studyB,video
pill-orange,16,9,9,0,1,0,0,0,0,1,0,0,0,0,17,0,74,0,0,4,4,0,0,0,studyB,video
